Symbol,Timeframe,Direction,OpenTime,CloseTime,OpenPrice,ClosePrice,PnL,PnL_Percent
SUIUSDT,1h,-1,2026-01-21T01:00:00+00:00,2026-01-21T02:00:00+00:00,1.5051,1.5022,0.00192678,0.1927%
ZECUSDT,1h,1,2026-01-21T02:00:00+00:00,2026-01-21T03:00:00+00:00,352.99,351.94,-0.00297459,-0.2975%
ZECUSDT,1h,1,2026-01-21T03:00:00+00:00,2026-01-21T04:00:00+00:00,351.96,352.58,0.00176156,0.1762%
ZECUSDT,1h,-1,2026-01-21T05:00:00+00:00,2026-01-21T06:00:00+00:00,356.86,359.58,-0.00762204,-0.7622%
TRXUSDT,1h,-1,2026-01-21T19:00:00+00:00,2026-01-21T20:00:00+00:00,0.2982,0.2996,-0.00469484,-0.4695%
SUIUSDT,1h,1,2026-01-21T19:00:00+00:00,2026-01-21T20:00:00+00:00,1.4768,1.5194,0.02884615,2.8846%
ZECUSDT,15m,-1,2026-01-21T19:30:00+00:00,2026-01-21T19:45:00+00:00,365.85,362.39,0.00945743,0.9457%
ZECUSDT,30m,-1,2026-01-21T19:30:00+00:00,2026-01-21T20:00:00+00:00,365.85,362.39,0.00945743,0.9457%
XRPUSDT,1h,-1,2026-01-21T20:00:00+00:00,2026-01-21T21:00:00+00:00,1.9734,1.9576,0.00800649,0.8006%
SUIUSDT,1h,-1,2026-01-21T20:00:00+00:00,2026-01-21T21:00:00+00:00,1.5409,1.5194,0.01395288,1.3953%
HBARUSDT,30m,-1,2026-01-21T21:00:00+00:00,2026-01-21T21:30:00+00:00,0.11066,0.11017,0.00442798,0.4428%
BNBUSDT,30m,-1,2026-01-21T21:00:00+00:00,2026-01-21T21:30:00+00:00,888.47,887.38,0.00122683,0.1227%
HBARUSDT,15m,-1,2026-01-21T21:45:00+00:00,2026-01-21T22:00:00+00:00,0.11095,0.11017,0.00703019,0.703%
HBARUSDT,30m,1,2026-01-21T22:30:00+00:00,2026-01-21T23:00:00+00:00,0.11035,0.11017,-0.00163117,-0.1631%
ZECUSDT,4h,-1,2026-01-23T12:00:00+00:00,2026-01-23T16:00:00+00:00,365.32,370.37,-0.0138235,-1.3823%
SUIUSDT,30m,1,2026-01-23T13:00:00+00:00,2026-01-23T13:30:00+00:00,1.4888,1.5141,0.01699355,1.6994%
